Part,Color,Quantity,Is Spare
4477,0,1,False
3623,0,4,False
3666,0,1,False
2445,0,3,False
2420,0,2,False
3028,0,2,False
4510,0,2,False
3070b,0,16,False
27925,0,8,False
98138,0,2,False
25269,0,16,False
6111,1,3,False
3004,1,2,False
2357,1,2,False
30414,1,8,False
63864,1,2,False
4162,1,3,False
3958,212,12,False
98138,1050,2,False
25269,1050,8,False
4477,321,6,False
3710,321,4,False
3070b,321,40,False
25269,321,40,False
3003,272,4,False
88292,272,2,False
37352,272,4,False
33243,272,2,False
6215,272,2,False
3070b,272,40,False
25269,272,40,False
3070b,323,40,False
25269,323,40,False
6112,71,2,False
3622,71,4,False
3008,71,4,False
3070b,26,40,False
25269,26,40,False
78169,322,1,False
3942c,297,1,False
3070b,1062,40,False
25269,1062,40,False
6111,15,4,False
3010,15,2,False
49307,15,8,False
37352,15,2,False
6215,15,4,False
2653,15,6,False
4477,15,1,False
60479,15,2,False
3710,15,1,False
3666,15,1,False
3030,15,1,False
3033,15,1,False
41740,15,6,False
54200,15,8,False
3070b,15,16,False
63864,15,2,False
2431,15,2,False
6636,15,2,False
14719,15,4,False
27925,15,8,False
3068b,15,3,False
87079,15,6,False
98138,15,2,False
25269,15,16,False
