Part,Color,Quantity,Is Spare
66821,0,1,False
3070b,0,4,False
98138,0,4,False
24246,0,4,False
25269,0,6,False
3070b,1,6,False
98138,1,4,False
24246,1,4,False
25269,1,6,False
3070b,212,6,False
25269,212,12,False
66821,191,1,False
3070b,191,6,False
98138,191,4,False
24246,191,2,False
25269,191,6,False
3070b,226,4,False
98138,226,4,False
25269,226,6,False
3070b,29,6,False
98138,29,4,False
24246,29,4,False
25269,29,6,False
3070b,1050,6,False
98138,1050,4,False
25269,1050,6,False
3070b,272,6,False
98138,272,4,False
25269,272,6,False
3070b,288,4,False
98138,288,4,False
25269,288,6,False
3070b,5,6,False
98138,5,4,False
25269,5,6,False
66821,85,1,False
3070b,85,6,False
25269,85,6,False
66821,3,1,False
3070b,3,6,False
98138,3,6,False
24246,3,2,False
25269,3,6,False
66821,31,1,False
3070b,31,4,False
98138,31,4,False
25269,31,6,False
3070b,323,4,False
98138,323,4,False
25269,323,12,False
98138,27,4,False
25269,27,8,False
77813,322,12,False
3070b,30,6,False
98138,30,4,False
24246,30,2,False
25269,30,6,False
25269,1061,8,False
25269,1053,4,False
1954f,1059,2,False
1954b,1059,2,False
1954e,1059,2,False
1954d,1059,2,False
1954a,1059,2,False
1954c,1059,2,False
3070b,25,6,False
98138,25,4,False
25269,25,6,False
3070b,4,6,False
24246,4,4,False
25269,4,6,False
25269,378,4,False
3070b,15,6,False
98138,15,4,False
24246,15,2,False
25269,15,6,False
3070b,158,6,False
98138,158,6,False
25269,158,6,False
