Part,Color,Quantity,Is Spare
73767,0,1,False
2234,0,1,False
66821,0,1,False
3070bpr0293,0,2,False
3070b,0,6,False
25269,0,14,False
3070b,212,3,False
25269,212,11,False
3070b,191,3,False
25269,191,10,False
77817,226,2,False
25269,226,12,False
25269,1050,12,False
3070b,272,6,False
25269,272,10,False
3070b,288,6,False
25269,288,10,False
79996,85,1,False
3070b,320,6,False
25269,320,8,False
79998,31,1,False
25269,323,14,False
77813,323,2,False
3070b,27,3,False
25269,27,4,False
25269,30,9,False
25269,1060,6,False
98138,1055,6,False
25269,1061,10,False
78169,297,1,False
3070b,36,4,False
25269,15,5,False
3070b,14,6,False
98138,14,4,False
25269,14,12,False
25269,158,12,False
