Part,Color,Quantity,Is Spare
79759c01,0,1,False
3956,0,1,False
32952,0,1,False
2653,0,8,False
3024,0,3,False
3710,0,3,False
2445,0,2,False
3021,0,2,False
3795,0,4,False
3032,0,2,False
3033,0,2,False
11833,0,3,False
80015,0,1,False
6003,0,2,False
35480,0,1,False
41740,0,1,False
72008,0,1,False
3070b,0,18,False
27507,0,2,False
24246,0,4,False
25269,0,16,False
49153,0,2,False
3023,1,3,False
43093,1,1,False
3070b,1,13,False
27507,1,1,False
25269,1,16,False
3070b,10,14,False
27925,10,2,False
25269,10,4,False
3070b,212,19,False
25269,212,18,False
3070b,191,18,False
25269,191,39,False
3070b,226,6,False
25269,226,36,False
25269,1050,14,False
3005,72,1,False
3004,72,1,False
3010,72,3,False
2357,72,2,False
3001,72,1,False
48092,72,1,False
3666,72,4,False
3021,72,1,False
3795,72,1,False
3031,72,1,False
10247,72,2,False
25269,72,4,False
3070b,288,10,False
25269,288,10,False
2420,85,1,False
3020,85,1,False
3031,85,1,False
3070b,85,9,False
24246,85,9,False
25269,85,14,False
3070b,320,22,False
27507,320,1,False
25269,320,36,False
72045,3,2,False
3070b,3,4,False
25269,3,19,False
51739,3,1,False
43723,3,1,False
43722,3,1,False
3070b,2,4,False
27925,2,1,False
25269,2,4,False
37452,323,1,False
3070b,323,14,False
25269,323,38,False
3070b,71,7,False
98138,71,3,False
25269,71,6,False
3070b,27,9,False
27507,27,1,False
25269,27,12,False
3070b,30,4,False
25269,30,24,False
3070b,84,4,False
24246,84,4,False
25269,1060,12,False
98138,1055,15,False
25269,1061,12,False
68547,297,2,False
65304,297,2,False
78169,297,1,False
3069b,19,2,False
2431,19,1,False
3070b,36,12,False
3005,15,8,False
2357,15,4,False
22885,15,3,False
3070b,15,29,False
27925,15,2,False
24246,15,12,False
25269,15,15,False
3022,14,3,False
3020,14,1,False
3031,14,5,False
6141,14,2,False
3070b,14,30,False
27925,14,12,False
24246,14,10,False
25269,14,36,False
15712,14,2,False
41769,14,2,False
3070b,158,10,False
25269,158,17,False
