Part,Color,Quantity,Is Spare
902221,226,1,False
33243,29,2,False
37452,29,1,False
3023,29,1,False
3710,29,5,False
92438,29,1,False
41539,29,1,False
3070b,29,24,False
25269,29,48,False
3070b,1050,24,False
25269,1050,48,False
87087,321,2,False
23950,321,2,False
3036,321,4,False
3069b,321,2,False
2431,321,9,False
3004,71,4,False
2357,71,4,False
30414,71,4,False
6636,71,3,False
3004,25,1,False
3622,25,1,False
3009,25,3,False
2357,25,3,False
96874,25,1,False
3710,25,2,False
3666,25,2,False
3070b,25,24,False
25269,25,48,False
32062,4,1,False
902222,47,1,False
3245c,15,22,False
3010,15,4,False
3008,15,2,False
2357,15,4,False
25214,15,2,False
6231,15,2,False
15207,15,3,False
3024,15,2,False
3623,15,2,False
3460,15,3,False
3958,15,1,False
32028,15,6,False
6636,15,1,False
98138,15,28,False
25269,15,48,False
