Part,Color,Quantity,Is Spare
2780,0,2,False
902221,226,1,False
15068,29,1,False
3070b,29,22,False
63864,29,14,False
4162,29,5,False
25269,29,26,False
96874,3,1,False
3070b,3,22,False
25269,3,26,False
6112,31,7,False
3004,31,9,False
3010,31,7,False
3070b,31,22,False
25269,31,26,False
3009,323,2,False
3008,323,1,False
91405,323,2,False
3070b,323,22,False
25269,323,26,False
60470b,71,1,False
60478,71,2,False
43045,26,2,False
3023,26,2,False
3666,26,11,False
3070b,26,24,False
25269,26,26,False
902222,47,1,False
11211,15,1,False
43056,15,2,False
3023,15,1,False
3666,15,8,False
3022,15,1,False
88072,15,1,False
3176,15,1,False
3070b,158,22,False
25269,158,26,False
