Part,Color,Quantity,Is Spare
3956,0,2,False
22885,0,4,False
2445,0,6,False
41539,0,2,False
22888,0,2,False
3070b,0,53,False
98138,0,8,False
24246,0,12,False
25269,0,40,False
91405,1,1,False
3034,1,6,False
3036,1,2,False
92438,1,1,False
3070b,1,22,False
25269,1,24,False
3023,226,10,False
3710,226,14,False
3460,226,6,False
3070b,226,20,False
25269,226,20,False
37452,29,2,False
3070b,29,22,False
25269,29,24,False
3035,31,2,False
41539,31,2,False
3070b,31,38,False
3069b,31,4,False
2431,31,6,False
4162,31,6,False
25269,31,34,False
41682,323,4,False
91405,323,1,False
22888,323,2,False
78168,323,2,False
3070b,323,28,False
25269,323,28,False
78169,322,1,False
96874,25,1,False
3062b,4,2,False
46342,4,2,False
32474,4,2,False
3070b,4,36,False
25269,4,44,False
3004,15,4,False
22886,15,10,False
3010,15,8,False
49311,15,11,False
3008,15,8,False
48092,15,4,False
3029,15,1,False
65486,15,2,False
3070b,15,52,False
98138,15,8,False
24246,15,12,False
25269,15,40,False
98138pr0226,15,4,False
98138pr0227,15,2,False
98138pr0228,15,2,False
98138pr0229,15,2,False
98138pr0230,15,4,False
98138pr0231,15,2,False
98138pr0232,15,2,False
98138pr0233,15,2,False
98138pr0234,15,4,False
98138pr0235,15,2,False
98138pr0236,15,2,False
98138pr0237,15,4,False
98138pr0238,15,6,False
98138pr0239,15,4,False
98138pr0240,15,4,False
98138pr0241,15,2,False
98138pr0242,15,2,False
98138pr0243,15,4,False
98138pr0244,15,4,False
98138pr0245,15,4,False
98138pr0246,15,2,False
98138pr0247,15,2,False
98138pr0249,15,2,False
98138pr0250,15,2,False
98138pr0251,15,2,False
30355,15,1,False
11211,14,6,False
30414,14,6,False
3070b,14,20,False
3069b,14,4,False
2431,14,6,False
4162,14,6,False
25269,14,20,False
