Part,Color,Quantity,Is Spare
35464,212,2,False
24246,212,2,False
25269,212,7,False
66821,226,1,False
24246,226,6,False
25269,226,9,False
3070b,29,6,False
98138,29,2,False
25269,29,12,False
69871,321,1,False
24246,5,4,False
25269,5,17,False
73767,31,1,False
24246,31,6,False
25269,31,9,False
24246,323,6,False
25269,323,9,False
25269,322,17,False
49307,30,4,False
98138,1055,8,False
22388,47,1,False
98138pr0276,47,8,False
69182,15,1,False
15573,15,1,False
24246pr0032,15,1,False
3070bpr0264,15,6,False
24246,15,4,False
25269,15,6,False
25269pr0034,15,4,False
98138pr0278,15,2,False
98138pr0181,15,8,False
25269,14,17,False
