Part,Color,Quantity,Is Spare
30414,0,2,False
66956,0,1,False
25269,0,14,False
3070b,10,17,False
25269,10,40,False
3070b,191,21,False
25269,191,61,False
6060,226,2,False
3024,226,2,False
3666,226,5,False
902221,226,1,False
2431,226,3,False
25269,226,22,False
98138,484,20,False
25269,484,16,False
3245c,71,8,False
3070b,26,17,False
25269,26,40,False
3070b,322,17,False
78169,322,1,False
25269,322,40,False
3710,70,4,False
2357,19,4,False
11211,19,10,False
902222,47,1,False
3245c,15,12,False
3009,15,1,False
32952,15,2,False
87079,15,2,False
98138,15,26,False
6005,14,2,False
22885,14,2,False
3023,14,3,False
3795,14,1,False
3958,14,6,False
6003,14,6,False
3297,14,4,False
3040b,14,4,False
