Part,Color,Quantity,Is Spare
3070b,1,2,False
24246,1,5,False
25269,1,11,False
80390,226,2,False
3070b,29,2,False
24246,29,5,False
25269,29,11,False
79996,1050,1,False
3070b,1050,2,False
24246,1050,5,False
25269,1050,11,False
3070b,5,2,False
24246,5,5,False
25269,5,11,False
3070b,85,2,False
24246,85,5,False
25269,85,11,False
73767,31,2,False
3070b,27,2,False
24246,27,5,False
25269,27,11,False
79996,322,2,False
901957,322,1,False
3070b,322,2,False
78169,322,1,False
24246,322,5,False
25269,322,11,False
25269,1060,9,False
65092,1055,6,False
98138,1053,6,False
73767,25,1,False
3070b,25,2,False
24246,25,5,False
25269,25,11,False
3070b,4,2,False
24246,4,5,False
25269,4,11,False
901956,47,1,False
98138,45,6,False
98138pr0226,15,4,False
98138pr0227,15,2,False
98138pr0228,15,2,False
98138pr0229,15,2,False
98138pr0230,15,4,False
98138pr0231,15,2,False
98138pr0232,15,2,False
98138pr0233,15,2,False
98138pr0234,15,4,False
98138pr0235,15,2,False
98138pr0236,15,2,False
98138pr0237,15,4,False
98138pr0238,15,6,False
98138pr0239,15,4,False
98138pr0240,15,4,False
98138pr0241,15,2,False
98138pr0242,15,2,False
98138pr0243,15,4,False
98138pr0244,15,4,False
98138pr0245,15,4,False
98138pr0246,15,2,False
98138pr0247,15,2,False
98138pr0249,15,2,False
98138pr0250,15,2,False
98138pr0251,15,2,False
3070b,14,2,False
24246,14,5,False
25269,14,11,False
