Part,Color,Quantity,Is Spare
2357,0,2,False
30165,0,2,False
30414,0,2,False
3021,0,8,False
60474,0,1,False
3039,0,4,False
3660,0,4,False
3070b,0,26,False
3069b,0,5,False
2431,0,9,False
14719,0,4,False
24246,0,2,False
25269,0,40,False
61485,0,1,False
3070b,212,10,False
25269,212,47,False
25269,191,47,False
902221,226,1,False
24246,29,1,False
25269,29,2,False
98138,1050,2,False
3070b,3,17,False
25269,3,50,False
3070b,31,10,False
25269,31,47,False
30414,71,6,False
63864,71,2,False
3010,19,2,False
22885,19,4,False
902222,47,1,False
98138,182,28,False
6112,15,4,False
3010,15,4,False
3009,15,6,False
2357,15,10,False
3023,15,2,False
3029,15,4,False
3032,15,4,False
3028,15,2,False
3958,15,2,False
54200,15,2,False
3039,15,1,False
2449,15,4,False
98138,15,4,False
25269,15,14,False
3023,14,5,False
3070b,158,17,False
25269,158,47,False
