Part,Color,Quantity,Is Spare
73767,0,1,False
41682,0,2,False
6112,0,2,False
2465,0,2,False
22886,0,2,False
49311,0,5,False
11211,0,2,False
4282,0,1,False
3031,0,4,False
3456,0,1,False
11213,0,2,False
74611,0,2,False
11477,0,2,False
3070b,0,14,False
3069b,0,2,False
27925,0,4,False
74169,0,2,False
98138,0,1,False
24246,0,6,False
25269,0,34,False
67095,0,2,False
41770,0,3,False
41769,0,3,False
91405,1,1,False
3070b,1,21,False
24246,1,8,False
25269,1,24,False
49311,191,11,False
92438,191,1,False
3070b,191,19,False
24246,191,8,False
25269,191,24,False
6111,29,2,False
3245c,29,12,False
22885,29,1,False
37452,29,1,False
3023,29,4,False
3036,29,2,False
3070b,29,19,False
6636,29,8,False
87079,29,3,False
98138,29,2,False
24246,29,10,False
25269,29,32,False
79759c01,3,1,False
96874,3,1,False
3070b,3,19,False
78169,3,1,False
24246,3,10,False
25269,3,24,False
22885,71,3,False
3070b,30,19,False
24246,30,12,False
25269,30,24,False
79996,4,1,False
3001,4,4,False
3034,4,2,False
3070b,4,19,False
24246,4,10,False
25269,4,24,False
80390,15,1,False
3005,15,8,False
6111,15,2,False
3245c,15,10,False
2357,15,4,False
22885,15,1,False
3023,15,1,False
91405,15,1,False
3031,15,1,False
3028,15,1,False
15573,15,1,False
41740,15,1,False
3070bpr0271,15,2,False
3070b,15,16,False
3069b,15,2,False
2431,15,11,False
27925,15,4,False
87079,15,3,False
24246,15,12,False
25269,15,37,False
3070b,14,19,False
24246,14,11,False
25269,14,24,False
