Part,Color,Quantity,Is Spare
3023,0,5,False
3070b,0,2,False
3069b,0,3,False
6636,0,1,False
27925,0,2,False
24246,0,4,False
25269,0,9,False
3070b,29,6,False
98138,29,1,False
25269,29,1,False
41539,321,1,False
41539,3,2,False
3070b,71,2,False
3069b,71,6,False
98138,71,3,False
25269,71,16,False
3023,4,3,False
15573,70,1,False
27925,70,3,False
25269,70,6,False
3024,15,2,False
3023,15,2,False
41539,15,1,False
15573,15,4,False
3069b,15,16,False
27925,15,1,False
25269,15,26,False
98138pr0026,15,2,False
98138pr0082,15,4,False
98138pr0008,15,2,False
